channel_probability,information_bits,encoded_bits,channel_bit_errors,channel_ber,decoded_bit_errors,decoded_ber
0.0000000000,100000,200012,0,0.0000000000,0,0.0000000000
0.0010000000,100000,200012,217,0.0010849349,0,0.0000000000
0.0020000000,100000,200012,431,0.0021548707,0,0.0000000000
0.0050000000,100000,200012,1100,0.0054996700,0,0.0000000000
0.0100000000,100000,200012,2022,0.0101093934,0,0.0000000000
0.0200000000,100000,200012,4118,0.0205887647,3,0.0000300000
0.0300000000,100000,200012,5988,0.0299382037,17,0.0001700000
0.0500000000,100000,200012,9998,0.0499870008,278,0.0027800000
0.0800000000,100000,200012,16174,0.0808651481,3725,0.0372500000
0.1000000000,100000,200012,19884,0.0994140352,9688,0.0968800000
0.1200000000,100000,200012,24040,0.1201927884,19174,0.1917400000
0.1500000000,100000,200012,30181,0.1508959462,34975,0.3497500000
0.2000000000,100000,200012,39896,0.1994680319,45729,0.4572900000
